unit	carried_from	target_sha	content_identity	regression_case	risk_match	trigger_status	evidence	result	type
A8-073	A6-073	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-073	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-074	A6-074	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-074	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-075	A6-075	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-075	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-076	A6-076	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-076	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-077	A6-077	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-077	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-078	A6-078	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-078	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-079	A6-079	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-079	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-080	A6-080	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-080	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-081	A6-081	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-081	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-082	A6-082	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-082	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-083	A6-083	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-083	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-084	A6-084	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-084	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-085	A6-085	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-085	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-086	A6-086	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-086	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-087	A6-087	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-087	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-088	A6-088	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-088	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-089	A6-089	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-089	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-090	A6-090	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-090	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-091	A6-091	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-091	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-092	A6-092	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-092	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-093	A6-093	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-093	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-094	A6-094	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-094	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-095	A6-095	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-095	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-096	A6-096	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-096	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-097	A6-097	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-097	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-098	A6-098	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-098	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-099	A6-099	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-099	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-100	A6-100	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-100	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-101	A6-101	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-101	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-102	A6-102	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-102	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-103	A6-103	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-103	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-104	A6-104	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-104	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-105	A6-105	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-105	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-106	A6-106	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-106	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-107	A6-107	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-107	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-108	A6-108	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-108	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-109	A6-109	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-109	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-110	A6-110	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-110	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-111	A6-111	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-111	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-112	A6-112	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-112	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-113	A6-113	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-113	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-114	A6-114	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-114	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-115	A6-115	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-115	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-116	A6-116	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-116	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-117	A6-117	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-117	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-118	A6-118	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-118	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-119	A6-119	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-119	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-120	A6-120	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-120	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-121	A6-121	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-121	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-122	A6-122	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-122	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-123	A6-123	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-123	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-124	A6-124	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-124	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-125	A6-125	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-125	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-126	A6-126	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-126	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-127	A6-127	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-127	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-128	A6-128	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-128	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-129	A6-129	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-129	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-130	A6-130	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-130	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-131	A6-131	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-131	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-132	A6-132	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-132	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-133	A6-133	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-133	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-134	A6-134	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-134	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-135	A6-135	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-135	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-136	A6-136	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-136	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-137	A6-137	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-137	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-138	A6-138	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-138	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
A8-139	A6-139	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-139	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	cross-trace
A8-140	A6-140	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-140	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	falsification
A8-141	A6-141	a50ee775636e5572f7976f2d1374089741b510b0	carry:A6-141	VR-STARTUP-WHITE-001	src/vr/**|vrhost/**	RISKPATH_MATCH_CONTENT_UNCHANGED	dependency/content identity validated: integration delta 265504f6..a50ee775 contains no src/vr or vrhost runtime-source changes; prior evidence row retained; VR-STARTUP-WHITE-001 consulted before promotion; runtime-visible DONE not claimed	PASS	architecture
