unit	fresh	path	objective	category	cross	falsification	outside_delta	evidence	verdict	regression_key
B16-123	1	vrhost/src/main_r23.cpp	classic capture frame correlation::falsification	cross	0	1	1	Adversarially falsify classic capture frame correlation: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-124	1	vrhost/src/main_r23.cpp	pose history match::invariant	cross	0	0	1	Inspect pose history match: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-125	1	vrhost/src/main_r23.cpp	pose history match::cross-trace	cross	1	0	1	Trace pose history match upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-126	1	vrhost/src/main_r23.cpp	pose history match::falsification	cross	0	1	1	Adversarially falsify pose history match: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-127	1	vrhost/src/main_r23.cpp	R23FrameUnchanged mutation guard::invariant	cross	0	0	1	Inspect R23FrameUnchanged mutation guard: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-128	1	vrhost/src/main_r23.cpp	R23FrameUnchanged mutation guard::cross-trace	cross	1	0	1	Trace R23FrameUnchanged mutation guard upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-129	1	vrhost/src/main_r23.cpp	R23FrameUnchanged mutation guard::falsification	cross	0	1	1	Adversarially falsify R23FrameUnchanged mutation guard: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-130	1	vrhost/src/main_r23.cpp	R23CommitDirectAfterValidation::invariant	performance	0	0	1	Inspect R23CommitDirectAfterValidation: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-131	1	vrhost/src/main_r23.cpp	R23CommitDirectAfterValidation::cross-trace	performance	1	0	1	Trace R23CommitDirectAfterValidation upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-132	1	vrhost/src/main_r23.cpp	R23CommitDirectAfterValidation::falsification	performance	0	1	1	Adversarially falsify R23CommitDirectAfterValidation: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-133	1	vrhost/src/main_r23.cpp	R23CommitClassicAfterValidation::invariant	performance	0	0	1	Inspect R23CommitClassicAfterValidation: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-134	1	vrhost/src/main_r23.cpp	R23CommitClassicAfterValidation::cross-trace	performance	1	0	1	Trace R23CommitClassicAfterValidation upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-135	1	vrhost/src/main_r23.cpp	R23CommitClassicAfterValidation::falsification	performance	0	1	1	Adversarially falsify R23CommitClassicAfterValidation: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-136	1	vrhost/src/main_r23.cpp	cached projection hold::invariant	performance	0	0	1	Inspect cached projection hold: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-137	1	vrhost/src/main_r23.cpp	cached projection hold::cross-trace	performance	1	0	1	Trace cached projection hold upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-138	1	vrhost/src/main_r23.cpp	cached projection hold::falsification	performance	0	1	1	Adversarially falsify cached projection hold: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-139	1	vrhost/src/main_r23.cpp	final layer kind accounting::invariant	performance	0	0	1	Inspect final layer kind accounting: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-140	1	vrhost/src/main_r23.cpp	final layer kind accounting::cross-trace	performance	1	0	1	Trace final layer kind accounting upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-141	1	vrhost/src/main_r23.cpp	final layer kind accounting::falsification	performance	0	1	1	Adversarially falsify final layer kind accounting: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-142	1	vrhost/src/main_r23.cpp	projection acquire/render/release::invariant	performance	0	0	1	Inspect projection acquire/render/release: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-143	1	vrhost/src/main_r23.cpp	projection acquire/render/release::cross-trace	performance	1	0	1	Trace projection acquire/render/release upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-144	1	vrhost/src/main_r23.cpp	projection acquire/render/release::falsification	performance	0	1	1	Adversarially falsify projection acquire/render/release: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-145	1	vrhost/src/main_r23.cpp	theater acquire/render/release::invariant	performance	0	0	1	Inspect theater acquire/render/release: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-146	1	vrhost/src/main_r23.cpp	theater acquire/render/release::cross-trace	performance	1	0	1	Trace theater acquire/render/release upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-147	1	vrhost/src/main_r23.cpp	theater acquire/render/release::falsification	performance	0	1	1	Adversarially falsify theater acquire/render/release: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
B16-148	1	vrhost/src/main_r23.cpp	direct-only classic rejection::invariant	cross	0	0	1	Inspect direct-only classic rejection: verify local visual/performance invariant and fail-closed behavior at integration c4dd697e.	PASS	
B16-149	1	vrhost/src/main_r23.cpp	direct-only classic rejection::cross-trace	cross	1	0	1	Trace direct-only classic rejection upstream/downstream across game→host/presentation boundary; check identity/state/timing propagation.	PASS	
B16-150	1	vrhost/src/main_r23.cpp	direct-only classic rejection::falsification	cross	0	1	1	Adversarially falsify direct-only classic rejection: stale/absent/duplicate/slow-frame or fallback condition must not create wrong-eye output or unbounded frame cost.	PASS	
