unit	fresh	path	objective	category	cross	falsification	outside_delta	evidence	verdict	regression_key
B17-086	1	src/vr/hud_semantics.hpp@0x0BDAE8	0x0BDAE8 HUD_GHOST cross-trace	visual	1	0	1	Trace exact anchor 0x0BDAE8 (HUD_GHOST) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-087	1	src/vr/hud_semantics.hpp@0x0BDAE8	0x0BDAE8 HUD_GHOST boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BDAE8: nearby mixed HUD/world ranges must not cause this HUD_GHOST site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-088	1	src/vr/hud_semantics.hpp@0x0BDE3A	0x0BDE3A HUD_GHOST ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BDE3A (Ghost/You/Diff adjustment) is declared HUD_GHOST/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-089	1	src/vr/hud_semantics.hpp@0x0BDE3A	0x0BDE3A HUD_GHOST cross-trace	visual	1	0	1	Trace exact anchor 0x0BDE3A (HUD_GHOST) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-090	1	src/vr/hud_semantics.hpp@0x0BDE3A	0x0BDE3A HUD_GHOST boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BDE3A: nearby mixed HUD/world ranges must not cause this HUD_GHOST site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-091	1	src/vr/hud_semantics.hpp@0x0BE4BC	0x0BE4BC HUD_TIME_ATTACK ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BE4BC (TimeAttack force right) is declared HUD_TIME_ATTACK/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-092	1	src/vr/hud_semantics.hpp@0x0BE4BC	0x0BE4BC HUD_TIME_ATTACK cross-trace	visual	1	0	1	Trace exact anchor 0x0BE4BC (HUD_TIME_ATTACK) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-093	1	src/vr/hud_semantics.hpp@0x0BE4BC	0x0BE4BC HUD_TIME_ATTACK boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BE4BC: nearby mixed HUD/world ranges must not cause this HUD_TIME_ATTACK site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-094	1	src/vr/hud_semantics.hpp@0x0BE4E7	0x0BE4E7 HUD_TIME_ATTACK ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BE4E7 (TimeAttack force left) is declared HUD_TIME_ATTACK/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-095	1	src/vr/hud_semantics.hpp@0x0BE4E7	0x0BE4E7 HUD_TIME_ATTACK cross-trace	visual	1	0	1	Trace exact anchor 0x0BE4E7 (HUD_TIME_ATTACK) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-096	1	src/vr/hud_semantics.hpp@0x0BE4E7	0x0BE4E7 HUD_TIME_ATTACK boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BE4E7: nearby mixed HUD/world ranges must not cause this HUD_TIME_ATTACK site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-097	1	src/vr/hud_semantics.hpp@0x0BE5CD	0x0BE5CD HUD_TIME_ATTACK ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BE5CD (TimeAttack scroll #1) is declared HUD_TIME_ATTACK/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-098	1	src/vr/hud_semantics.hpp@0x0BE5CD	0x0BE5CD HUD_TIME_ATTACK cross-trace	visual	1	0	1	Trace exact anchor 0x0BE5CD (HUD_TIME_ATTACK) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-099	1	src/vr/hud_semantics.hpp@0x0BE5CD	0x0BE5CD HUD_TIME_ATTACK boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BE5CD: nearby mixed HUD/world ranges must not cause this HUD_TIME_ATTACK site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-100	1	src/vr/hud_semantics.hpp@0x0BE8D8	0x0BE8D8 HUD_TIME_ATTACK ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BE8D8 (TimeAttack scroll later group) is declared HUD_TIME_ATTACK/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-101	1	src/vr/hud_semantics.hpp@0x0BE8D8	0x0BE8D8 HUD_TIME_ATTACK cross-trace	visual	1	0	1	Trace exact anchor 0x0BE8D8 (HUD_TIME_ATTACK) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-102	1	src/vr/hud_semantics.hpp@0x0BE8D8	0x0BE8D8 HUD_TIME_ATTACK boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BE8D8: nearby mixed HUD/world ranges must not cause this HUD_TIME_ATTACK site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-103	1	src/vr/hud_semantics.hpp@0x0BEA64	0x0BEA64 HUD_GOAL_TIME ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BEA64 (TimeAttack goal) is declared HUD_GOAL_TIME/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-104	1	src/vr/hud_semantics.hpp@0x0BEA64	0x0BEA64 HUD_GOAL_TIME cross-trace	visual	1	0	1	Trace exact anchor 0x0BEA64 (HUD_GOAL_TIME) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-105	1	src/vr/hud_semantics.hpp@0x0BEA64	0x0BEA64 HUD_GOAL_TIME boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BEA64: nearby mixed HUD/world ranges must not cause this HUD_GOAL_TIME site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-106	1	src/vr/hud_semantics.hpp@0x0BEB8E	0x0BEB8E HUD_RIVAL ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BEB8E (Rival scaling disable) is declared HUD_RIVAL/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-107	1	src/vr/hud_semantics.hpp@0x0BEB8E	0x0BEB8E HUD_RIVAL cross-trace	visual	1	0	1	Trace exact anchor 0x0BEB8E (HUD_RIVAL) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-108	1	src/vr/hud_semantics.hpp@0x0BEB8E	0x0BEB8E HUD_RIVAL boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BEB8E: nearby mixed HUD/world ranges must not cause this HUD_RIVAL site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-109	1	src/vr/hud_semantics.hpp@0x0BEBAF	0x0BEBAF HUD_RIVAL ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BEBAF (Rival scaling enable) is declared HUD_RIVAL/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-110	1	src/vr/hud_semantics.hpp@0x0BEBAF	0x0BEBAF HUD_RIVAL cross-trace	visual	1	0	1	Trace exact anchor 0x0BEBAF (HUD_RIVAL) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-111	1	src/vr/hud_semantics.hpp@0x0BEBAF	0x0BEBAF HUD_RIVAL boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BEBAF: nearby mixed HUD/world ranges must not cause this HUD_RIVAL site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-112	1	src/vr/hud_semantics.hpp@0x0BEBE1	0x0BEBE1 HUD_HEART_TOTAL ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BEBE1 (Heart total disable) is declared HUD_HEART_TOTAL/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-113	1	src/vr/hud_semantics.hpp@0x0BEBE1	0x0BEBE1 HUD_HEART_TOTAL cross-trace	visual	1	0	1	Trace exact anchor 0x0BEBE1 (HUD_HEART_TOTAL) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-114	1	src/vr/hud_semantics.hpp@0x0BEBE1	0x0BEBE1 HUD_HEART_TOTAL boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BEBE1: nearby mixed HUD/world ranges must not cause this HUD_HEART_TOTAL site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-115	1	src/vr/hud_semantics.hpp@0x0BEBE6	0x0BEBE6 HUD_HEART_TOTAL ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BEBE6 (Heart total enable) is declared HUD_HEART_TOTAL/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-116	1	src/vr/hud_semantics.hpp@0x0BEBE6	0x0BEBE6 HUD_HEART_TOTAL cross-trace	visual	1	0	1	Trace exact anchor 0x0BEBE6 (HUD_HEART_TOTAL) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-117	1	src/vr/hud_semantics.hpp@0x0BEBE6	0x0BEBE6 HUD_HEART_TOTAL boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BEBE6: nearby mixed HUD/world ranges must not cause this HUD_HEART_TOTAL site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-118	1	src/vr/hud_semantics.hpp@0x0BEC83	0x0BEC83 HUD_RIVAL ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BEC83 (Rival online disable) is declared HUD_RIVAL/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-119	1	src/vr/hud_semantics.hpp@0x0BEC83	0x0BEC83 HUD_RIVAL cross-trace	visual	1	0	1	Trace exact anchor 0x0BEC83 (HUD_RIVAL) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-120	1	src/vr/hud_semantics.hpp@0x0BEC83	0x0BEC83 HUD_RIVAL boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BEC83: nearby mixed HUD/world ranges must not cause this HUD_RIVAL site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-121	1	src/vr/hud_semantics.hpp@0x0BEC88	0x0BEC88 HUD_RIVAL ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BEC88 (Rival online enable) is declared HUD_RIVAL/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-122	1	src/vr/hud_semantics.hpp@0x0BEC88	0x0BEC88 HUD_RIVAL cross-trace	visual	1	0	1	Trace exact anchor 0x0BEC88 (HUD_RIVAL) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-123	1	src/vr/hud_semantics.hpp@0x0BEC88	0x0BEC88 HUD_RIVAL boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BEC88: nearby mixed HUD/world ranges must not cause this HUD_RIVAL site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-124	1	src/vr/hud_semantics.hpp@0x0BECBA	0x0BECBA HUD_HEART_TOTAL ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BECBA (C2C heart enable) is declared HUD_HEART_TOTAL/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-125	1	src/vr/hud_semantics.hpp@0x0BECBA	0x0BECBA HUD_HEART_TOTAL cross-trace	visual	1	0	1	Trace exact anchor 0x0BECBA (HUD_HEART_TOTAL) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-126	1	src/vr/hud_semantics.hpp@0x0BECBA	0x0BECBA HUD_HEART_TOTAL boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BECBA: nearby mixed HUD/world ranges must not cause this HUD_HEART_TOTAL site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-127	1	src/vr/hud_semantics.hpp@0x0BECE0	0x0BECE0 HUD_HEART_TOTAL ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0BECE0 (C2C heart enable #2) is declared HUD_HEART_TOTAL/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-128	1	src/vr/hud_semantics.hpp@0x0BECE0	0x0BECE0 HUD_HEART_TOTAL cross-trace	visual	1	0	1	Trace exact anchor 0x0BECE0 (HUD_HEART_TOTAL) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-129	1	src/vr/hud_semantics.hpp@0x0BECE0	0x0BECE0 HUD_HEART_TOTAL boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0BECE0: nearby mixed HUD/world ranges must not cause this HUD_HEART_TOTAL site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-130	1	src/vr/hud_semantics.hpp@0x0FC84E	0x0FC84E HUD_RANK_EMOJI ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0FC84E (ranking emoji #1) is declared HUD_RANK_EMOJI/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-131	1	src/vr/hud_semantics.hpp@0x0FC84E	0x0FC84E HUD_RANK_EMOJI cross-trace	visual	1	0	1	Trace exact anchor 0x0FC84E (HUD_RANK_EMOJI) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-132	1	src/vr/hud_semantics.hpp@0x0FC84E	0x0FC84E HUD_RANK_EMOJI boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0FC84E: nearby mixed HUD/world ranges must not cause this HUD_RANK_EMOJI site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-133	1	src/vr/hud_semantics.hpp@0x0FC882	0x0FC882 HUD_RANK_EMOJI ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0FC882 (ranking emoji #2) is declared HUD_RANK_EMOJI/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-134	1	src/vr/hud_semantics.hpp@0x0FC882	0x0FC882 HUD_RANK_EMOJI cross-trace	visual	1	0	1	Trace exact anchor 0x0FC882 (HUD_RANK_EMOJI) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-135	1	src/vr/hud_semantics.hpp@0x0FC882	0x0FC882 HUD_RANK_EMOJI boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0FC882: nearby mixed HUD/world ranges must not cause this HUD_RANK_EMOJI site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-136	1	src/vr/hud_semantics.hpp@0x0FC8B4	0x0FC8B4 HUD_RANK_TEXT ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0FC8B4 (rank: aaa text) is declared HUD_RANK_TEXT/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-137	1	src/vr/hud_semantics.hpp@0x0FC8B4	0x0FC8B4 HUD_RANK_TEXT cross-trace	visual	1	0	1	Trace exact anchor 0x0FC8B4 (HUD_RANK_TEXT) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-138	1	src/vr/hud_semantics.hpp@0x0FC8B4	0x0FC8B4 HUD_RANK_TEXT boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0FC8B4: nearby mixed HUD/world ranges must not cause this HUD_RANK_TEXT site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-139	1	src/vr/hud_semantics.hpp@0x0FC9EB	0x0FC9EB HUD_GF_SPEECH ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0FC9EB (speech initial position #1) is declared HUD_GF_SPEECH/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-140	1	src/vr/hud_semantics.hpp@0x0FC9EB	0x0FC9EB HUD_GF_SPEECH cross-trace	visual	1	0	1	Trace exact anchor 0x0FC9EB (HUD_GF_SPEECH) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-141	1	src/vr/hud_semantics.hpp@0x0FC9EB	0x0FC9EB HUD_GF_SPEECH boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0FC9EB: nearby mixed HUD/world ranges must not cause this HUD_GF_SPEECH site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-142	1	src/vr/hud_semantics.hpp@0x0FCA1E	0x0FCA1E HUD_GF_SPEECH ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0FCA1E (speech initial position #2) is declared HUD_GF_SPEECH/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-143	1	src/vr/hud_semantics.hpp@0x0FCA1E	0x0FCA1E HUD_GF_SPEECH cross-trace	visual	1	0	1	Trace exact anchor 0x0FCA1E (HUD_GF_SPEECH) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-144	1	src/vr/hud_semantics.hpp@0x0FCA1E	0x0FCA1E HUD_GF_SPEECH boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0FCA1E: nearby mixed HUD/world ranges must not cause this HUD_GF_SPEECH site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-145	1	src/vr/hud_semantics.hpp@0x0FCA51	0x0FCA51 HUD_GF_SPEECH ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0FCA51 (speech initial position #3) is declared HUD_GF_SPEECH/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-146	1	src/vr/hud_semantics.hpp@0x0FCA51	0x0FCA51 HUD_GF_SPEECH cross-trace	visual	1	0	1	Trace exact anchor 0x0FCA51 (HUD_GF_SPEECH) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-147	1	src/vr/hud_semantics.hpp@0x0FCA51	0x0FCA51 HUD_GF_SPEECH boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0FCA51: nearby mixed HUD/world ranges must not cause this HUD_GF_SPEECH site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
B17-148	1	src/vr/hud_semantics.hpp@0x0FCB20	0x0FCB20 HUD_GF_SPEECH ownership	visual	0	0	1	Exact reverse-engineered anchor 0x0FCB20 (speech initial position #4) is declared HUD_GF_SPEECH/ScreenHud; verify this exact call-site semantic remains screen-HUD zero-disparity rather than inheriting generic draw-state heuristics.	PASS	
B17-149	1	src/vr/hud_semantics.hpp@0x0FCB20	0x0FCB20 HUD_GF_SPEECH cross-trace	visual	1	0	1	Trace exact anchor 0x0FCB20 (HUD_GF_SPEECH) from UI-scaling provenance through ClassifyCaller ownership into screen HUD common-centre policy; verify no projection/state heuristic is needed to change the declared semantic.	PASS	
B17-150	1	src/vr/hud_semantics.hpp@0x0FCB20	0x0FCB20 HUD_GF_SPEECH boundary-falsification	visual	0	1	1	Adversarial boundary check for exact anchor 0x0FCB20: nearby mixed HUD/world ranges must not cause this HUD_GF_SPEECH site to cross semantic ownership; fail closed to UNKNOWN outside declared ranges rather than broadening classification.	PASS	
